dimension,dataset,index_build_time,peak_memory_mb
128,sift,22.8546,1448
128,sift,20.3244,1447
128,sift,20.3477,1447
128,sift,22.0856,1447
128,sift,22.6698,1447
128,sift,21.9571,1446
1024,agnews,122.481,8284
1024,amazonqa,134.777,8283
1024,gooaq,120.872,8283
1024,wikisum,365.679,8283
1024,yahoo,322.832,8284
1024,youtube,285.867,8285
128,sift,38.7735,1447
1536,openai,589.161,12068
2048,agnews,469.923,16098
2048,amazonqa,459.235,16096
2048,gooaq,300.774,16096
2048,wikisum,293.184,16098
2048,yahoo,510.343,16097
300,word2vec,160.696,2760
3072,openai,1048.4,23671
3584,agnews,584.667,27815
3584,amazonqa,723.056,27816
3584,gooaq,507.142,27817
3584,wikisum,735.205,27816
3584,yahoo,673.078,27816
4096,agnews,986.028,31722
4096,amazonqa,861.148,31721
4096,gooaq,737.658,31721
4096,wikisum,1411.93,31722
4096,yahoo,644.426,31721
420,msong,136.63,3654
960,gist,365.519,7795
128,sift,30.2153,1446
300,word2vec,63.1355,2760
420,msong,97.0114,3654
960,gist,261.728,7795
128,sift,35.5249,1447

128,sift,19.5884,1447
128,sift,22.0141,1447
128,sift,22.0239,1447
300,word2vec,44.1077,2761
420,msong,97.8741,3653
960,gist,203.136,7795
1024,youtube,110.084,8286
1536,openai,233.721,12069
3072,openai,431.651,23670
128,sift,30.8135,1447
300,word2vec,47.1691,2760
420,msong,72.157,3654
960,gist,212.23,7794
